site.plot,Hydrogroup,HSG_2,lat,lon,site,B,plot,rep,siteB,site.plot.rep,depth,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,last_yr_range,sample.type,date.collected,smpl.yr,YSF,treatment,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,texture,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,prior,farm_group,site_ID,study,FF,TP,Pi,Po,Pi2TP,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,sampledate,sample_yr
NA,B/D,D,44.707528,-72.83325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0.13273853106792,576.8000000000001,4160,7440,786.6400000000001,0.06484638308756611,1470.9352081040904,53.400000000000006,40.699999999999996,5.900000000000001,NA,NA,8894.867724867725,NA,NA,NA,NA,NA,NA,1.7986666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WBF-F,Perillo,0,1092.9003333333333,710.3451263110555,382.5552070222778,0.6499633174641929,41,46,20150617,USGS-VWRLSC-2014,Wetland,Wetland_C,Interior,1092.9003333333333,382.5552070222778,710.3451263110555,0.441302425,7.699450758,5.183333333333334,Sandy loam,C,17115.463333333333,5921.9766666666665,34.10333333333333,26421.606666666663,1949.1733333333334,6097.453333333334,1281.6866666666667,232.24,1189.24,NA,NA,NA,NA,5,2015-06-17,2015
OCSP.0,B/D,D,43.919670000000004,-73.1758,OCSP,NA,0,S,OCSP,OCSP.0.S,0-10cm,8,1,0,0,9,0.111111111111111,1995,2003,1995,1995-2003,intact cores,2019-07-09T00:00:00Z,2019.51944444444,24.5194444444443,CTRL,0.336985179815978,0.5823627762101309,0.6030373856183926,1226.4560622521046,288.27766129060535,938.1784009614968,0.21341592987002797,665.7274885552914,2429.0543958378985,1904.3840034670206,50.49457824962159,0.1731829450877446,219.1828208783576,1.45499999999998,87.295,11.25,Silt,98.54500000000002,3843.126879680217,0.3463658901754884,0.6453956523906735,0.2982579501981334,0.23860074920115046,2.701591261303073,0.07502304324119623,6.61281104794916,16.292011534117353,126.5347699432845,279.3993640763891,2773.5007374976694,44.43052167447218,0.2701064024759149,0.41449303673136856,39.98112010403073,22.090782503489002,59.23332535860022,65.34095485674052,3.1392411628506816,0.235049318245653,hay/pasture,<25%,OCSP.0,Wiegman,0.111111111111111,1226.4560622521046,288.27766129060535,938.1784009614993,0.235049318245653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B/D,D,44.920153,-72.757958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.05320761154477334,1254,1478,4086,329.80000000000007,0.31675818897756186,-342.6105676451713,42.76666666666667,49.73333333333333,7.533333333333334,NA,NA,3958.85582010582,NA,NA,NA,NA,NA,NA,47.077463333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CJS-F,Perillo,1,1352.8653333333332,984.7525669446271,368.11276638870623,0.7279013976345223,5,5,20150624,USGS-VWRLSC-2014,Corn,Corn_B,Interior,1352.8653333333332,368.11276638870623,984.7525669446271,0.285062341,3.086288372666667,7.906666666666666,Silt loam,B,18701.536666666667,5673.196666666667,51.63666666666668,21315.573333333334,2833.1200000000003,6989.420000000001,764.7599999999999,265.90000000000003,691.6999999999999,NA,NA,NA,NA,5,2015-06-24,2015
Sa.3,A/D,D,43.87,-73.1795,Sa,3,3,2,Sa3,Sa.3.2,0-10cm,10,0,0,0,10,0,NA,1993,1993,pre-1993,intact cores,NA,2018.58055555555,25.5805555555555,CTRL,0.2366892487619835,0.7523980487345651,NA,991.3280050893472,461.9778305739764,529.3501745153716,0.2890164108539944,703.3873435501064,1752.6074361187839,2642.6376708995854,72.59654537534766,0.20393317915695144,91.33431519204069,2.83999999999998,80.91,16.25,Silt loam,97.160000000000025,3475.141692887012,0.36948238582927634,0.45120737582040726,0.22110518446929572,0.3348032538933563,1.3190262596964455,0.12996833437075278,4.5041985177707495,14.887085464036932,100.19754421812112,342.38419986290177,3191.05998619404,71.54199805728493,0.23782582388467036,0.9414981651575893,134.7205871136831,74.68841144152975,72.29066776144845,266.89641624795416,11.049105783886734,0.4660191462384228,"uncertain
(unfarmed since 1995)",<25%,Sa.3,Wiegman,0,991.3280050893472,461.9778305739764,529.3501745153708,0.4660191462384228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sa.3,A/D,D,43.86691,-73.18,Sa,3,3,NA,Sa3,Sa.3.,0-10cm,10,0,0,0,10,0,NA,1993,1993,pre-1993,intact cores,NA,2018.58055555555,25.5805555555555,CTRL,0.264740259169345,0.713051319999568,0.207499393905152,1377.5,344.53125,1032.96875,0.205,659,2320,5160,190.999999999999,0.11938119725296055,611.8192592429131,NA,NA,NA,NA,NA,5520.132275132275,0.238762394505921,0.230707676919229,0.209725372155391,0.247399888765294,0.932529428653459,0.0624135859120774,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25011343012704174,"uncertain
(unfarmed since 1995)",<25%,Sa.3,Wiegman,0,1377.5,344.53125,1032.96875,0.25011343012704174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM.3,C,C,44.50244,-73.21222,DM,NA,3,0,DM,DM.3.0,0-10cm,0,13,0,0,13,1,2020,NA,2020,NA,surface plots,2019-07-30T00:00:00Z,2019.58333333333,0,CTRL,1.08049991478368,0.170322138450993,9.87075,1606.51785,1179.37454237288,427.143307627118,0.0358018636586546,790.919344396414,640.38673544473,2289.24571936999,225.207996875405,0.39496204616215036,-329.9085048092679,NA,NA,NA,NA,NA,2002.519867622178,0.7899240923243,0.624117154952883,0.310727984796686,1.07570191153887,0.580195264373969,0.588945239166733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7341185423945834,row crop,>75%,DM.3,Wiegman,1,1606.51785,1179.37454237288,427.14330762712007,0.7341185423945834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCD.AS,B/D,D,43.7800805555556,-73.0948944444444,OCD,AS,AS,1,OCDAS,OCD.AS.1,0-10cm,2,7,0,0,9,0.777777777777777,2020,2003,2020,2020-2003,intact cores,NA,2021.525,1.52500000000009,CTRL,0.94259865505,0.3071539963920222,1.8289935796521057,878.5979172607989,428.94525387286376,449.65266338793504,0.06759468726761451,323.5567031590369,1021.3714655099453,2843.907865755278,55.82648974798392,0.11717678581114256,310.5160573975634,27.7,64.8,7.5,Silt loam,72.3,2746.991896668276,0.2343535716222846,0.20785790753727695,0.5040513653908384,0.2699230438136916,0.7466761254012697,0.15579737299353785,3.508072796051885,6.053732131529578,37.460909506451294,99.78993069499622,1030.9842382207087,27.522854428739425,0.134838341285887,0.7639733391170087,28.205315738741906,5.24028777653198,15.215232348417343,8.008323751203882,2.185202713634507,0.48821565069285006,hay/pasture,>75%,OCD.AS,Wiegman,0.777777777777777,878.5979172607989,428.94525387286376,449.65266338793515,0.48821565069285006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,D,D,44.912489,-72.964292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0.06117847389373334,620,2397,7150,607.2,0.09239738207417456,924.7788917082868,25.233333333333334,63.866666666666674,10.9,NA,NA,6710.146825396826,NA,NA,NA,NA,NA,NA,2.0233333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WSK-F,Perillo,0,1078.2002333333332,796.2294948681043,281.970738465229,0.7384801730254721,21,54,20150629,USGS-VWRLSC-2014,Wetland,Wetland_B,Interior,1078.2002333333332,281.970738465229,796.2294948681043,0.2644126416666666,3.5486353766666667,6.026666666666666,Silt loam,B,21339.34,4054.94,28.876666666666665,28826.55,3029.976666666667,7457.536666666667,1107.9066666666668,384.8033333333333,518.2966666666666,NA,NA,NA,NA,1,2015-06-29,2015
QuH.2,C,C,43.79,-73.10939,QuH,2,2,1,QuH2,QuH.2.1,0-10cm,4,5,0,0,9,0.555555555555555,2009,2011,2009,2009-2011,surface plots,NA,2018.68333333333,9.68333333333339,CTRL,0.7255560865314195,0.301087794628539,NA,1080.7874109559407,470.2536832682007,610.5337276877453,0.10680389043097109,540.0964570104501,1736.5547174195312,2847.4855965206316,169.90719461624468,0.15450700270928794,270.28708211155333,5.7,83.05,11.25,Silt,94.3,3570.1087524656577,0.3090140054185753,0.35146021231279595,0.3214677216685609,0.275785123189983,1.271867946741887,0.1462046705309234,5.3859961969320596,9.302295635501784,51.883685855883996,190.93932131366418,1946.5884545262488,23.27154741035438,0.1998349329948155,0.44213205360414637,14.620706772757625,16.974289514473465,19.635357768936863,18.277515972359954,0.7135762042610644,0.43510285047849345,hay/pasture,>25% & <75%,QuH.2,Wiegman,0.555555555555555,1080.7874109559407,470.2536832682007,610.53372768774,0.43510285047849345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MC.2,B/D,D,44.56708,-73.15875,MC,NA,2,1,MC,MC.2.1,0-10cm,7,3,0,0,10,0.3,2004,2006,2004,2004-2006,intact cores,2019-07-30T00:00:00Z,2019.58333333333,15.5833333333332,CTRL,0.37457411618358005,0.4736728142033262,0.34269953821902915,1256.9407185882371,588.5807234093519,668.3599951788902,0.1578739059071857,636.556152462921,1177.265749946107,5884.80247216603,600.7357534440414,0.14426526729110084,396.1727017333468,3.795,77.455,18.75,Silt loam,96.205,4609.334002056487,0.2885305345822008,0.21765615958413048,0.2114777859480939,0.47041593130060033,0.48334719805078635,0.13375404326115187,2.7984553227675506,8.64354229202693,95.96515625170113,304.7003949252141,2126.0312074687904,33.693871875575574,0.31203359510099354,1.713440314121192,95.12161891156924,52.49500656968503,104.91476355094828,41.77329639289514,3.5154379289156745,0.468264505004206,hay/pasture,>25% & <75%,MC.2,Wiegman,0.3,1256.9407185882371,588.5807234093519,668.3599951788852,0.468264505004206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RR.F,C/D,D,44.94554848,-72.89167916,RR,F,F,NA,RRF,RR.F.,0-10cm,0,11,0,0,11,1,2020,NA,2020,NA,surface plots,NA,2020.77222222222,0.772222222222126,CTRL,0.825973930156212,0.278895433335883,0.395932469572045,1122.71789808917,476.283913043477,646.433985045694,0.117834394904455,512.179793767987,1689.43129612442,4168.226147262,NA,0.12059437707963426,465.5743963002757,NA,NA,NA,NA,NA,4247.128317017386,0.241188754159268,0.221971644978135,0.334674463598093,0.264048665054581,0.840646722952571,0.112142576699437,1.46499999999999,5.415,79.565,214.385,2745.38,23.39,0.26,0.695,5.99,8.695,32.935,6.52499999999999,1.705,0.42422403157026095,hay/pasture,>75%,RR.F,Wiegman,1,1122.71789808917,476.283913043477,646.4339850456929,0.42422403157026095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FoKe.Ac,B,B,44.26267,-73.06833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FoKe.Ac,Wiegman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCD.1,B/D,D,43.7812,-73.0953,OCD,NA,1,S,OCD,OCD.1.S,0-10cm,9,0,0,0,9,0,NA,1993,1993,pre-1993,intact cores,2019-07-09T00:00:00Z,2019.51944444444,26.5194444444443,CTRL,0.439038001671157,0.543852358920526,0.18506594823637404,1225.9178383592414,439.60126916004344,786.3165691992006,0.17836365933087592,654.0876329431904,1870.5424372552359,7250.115821169309,894.5562622333974,0.10642023829282253,762.7162277038393,9.38000000000002,81.8699999999999,8.75,Silt,90.61999999999998,6161.116807800134,0.21284047658564456,0.16362913272570626,0.2905386813761442,0.30461601313227693,0.5357758835805275,0.07159722972738017,4.522469813428459,11.26575947057245,63.91697714796742,334.5504039022029,2448.7582488589887,23.407088514919902,0.3506113048679909,1.2326360192175836,69.12373000824748,88.91814461788408,96.73411485080038,33.72082982501465,4.4511270593718,0.3585895036394953,"uncertain
(unfarmed since 1995)",<25%,OCD.1,Wiegman,0,1225.9178383592414,439.60126916004344,786.3165691991979,0.3585895036394953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
